ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D13,Crimes Against the Person,Robbery-Other,126,45
2014,D13,Crimes Against the Person,Sexual Violation,67,41
2014,D13,Criminal Code Traffic ,Other,102,100
2014,D13,Other Criminal Code Violations,Other,325,306
2014,D13,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,25,24
2014,D13,Other Federal Statute Violations,Other,29,28
2014,D14,Controlled Drugs and Substances Act,Other,561,541
2014,D14,Crimes Against Property,Auto Theft,125,45
2014,D14,Crimes Against Property,Break & Enter-Apartment,171,61
2014,D14,Crimes Against Property,Break & Enter-Commercial,197,89
2014,D14,Crimes Against Property,Break & Enter-House,114,37
2014,D14,Crimes Against Property,Break & Enter-Other,39,11
2014,D14,Crimes Against Property,Fraud,356,94
2014,D14,Crimes Against Property,Other,997,409
2014,D14,Crimes Against Property,Theft Over $5000,79,19
2014,D14,Crimes Against Property,Theft Under $5000,2771,823
2014,D14,Crimes Against the Person,Assault,1183,812
2014,D14,Crimes Against the Person,Attempt Murder,6,6
2014,D14,Crimes Against the Person,Other,262,168
2014,D14,Crimes Against the Person,Robbery-Financial,19,19
2014,D14,Crimes Against the Person,Robbery-Other,239,144
2014,D14,Crimes Against the Person,Sexual Violation,135,82
2014,D14,Criminal Code Traffic ,Other,104,102
2014,D14,Other Criminal Code Violations,Other,813,757
2014,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,68,64
2014,D14,Other Federal Statute Violations,Other,28,28
2014,D22,Controlled Drugs and Substances Act,Other,224,216
2014,D22,Crimes Against Property,Auto Theft,300,50
2014,D22,Crimes Against Property,Break & Enter-Apartment,91,31
2014,D22,Crimes Against Property,Break & Enter-Commercial,127,26
2014,D22,Crimes Against Property,Break & Enter-House,300,110
2014,D22,Crimes Against Property,Break & Enter-Other,21,4
2014,D22,Crimes Against Property,Fraud,526,191
2014,D22,Crimes Against Property,Other,826,225
2014,D22,Crimes Against Property,Theft Over $5000,85,17
2014,D22,Crimes Against Property,Theft Under $5000,2357,618
2014,D22,Crimes Against the Person,Assault,877,589
2014,D22,Crimes Against the Person,Attempt Murder,4,4
2014,D22,Crimes Against the Person,Other,252,130
2014,D22,Crimes Against the Person,Robbery-Financial,9,9
2014,D22,Crimes Against the Person,Robbery-Other,157,81
2014,D22,Crimes Against the Person,Sexual Violation,78,36
2014,D22,Criminal Code Traffic ,Other,111,109
2014,D22,Other Criminal Code Violations,Other,652,614
2014,D22,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,50,45
2014,D22,Other Federal Statute Violations,Other,16,15
2015,D14,Crimes Against Property,Break & Enter-Apartment,186,87
2015,D14,Crimes Against Property,Break & Enter-Commercial,162,74
2015,D14,Crimes Against Property,Break & Enter-House,97,40
2015,D14,Crimes Against Property,Break & Enter-Other,31,14
2015,D14,Crimes Against Property,Fraud,540,148
2015,D14,Crimes Against Property,Other,1036,388
2015,D14,Crimes Against Property,Theft Over $5000,57,10
2015,D14,Crimes Against Property,Theft Under $5000,2839,646
2015,D14,Crimes Against the Person,Assault,1273,856
2015,D14,Crimes Against the Person,Attempt Murder,12,5
2015,D14,Crimes Against the Person,Other,297,183
2015,D14,Crimes Against the Person,Robbery-Financial,5,5
2015,D14,Crimes Against the Person,Robbery-Other,178,88
2015,D14,Crimes Against the Person,Sexual Violation,170,94
2015,D14,Criminal Code Traffic ,Other,127,125
2015,D14,Other Criminal Code Violations,Other,789,740
2015,D14,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,75,73
